DATE,SPX,SPX_SMA200,UNRATE,UNRATE_MA12,PRICE_ABOVE_SMA200,UNEMP_ABOVE_MA12,TIMING_ASSET
2001-11,1139.45,1178.96,5.3,4.46,False,True,SHY (미국 단기국채)
2001-12,1148.08,1166.94,5.5,4.59,False,True,SHY (미국 단기국채)
2002-01,1130.2,1166.06,5.7,4.74,False,True,SHY (미국 단기국채)
2002-02,1106.73,1153.48,5.7,4.87,False,True,SHY (미국 단기국채)
2002-03,1147.39,1141.58,5.7,4.99,True,True,QQQ (나스닥)
2002-04,1076.92,1128.85,5.7,5.11,False,True,SHY (미국 단기국채)
2002-05,1067.14,1115.3,5.9,5.23,False,True,SHY (미국 단기국채)
2002-06,989.82,1100.52,5.8,5.36,False,True,SHY (미국 단기국채)
2002-07,911.62,1084.96,5.8,5.47,False,True,SHY (미국 단기국채)
2002-08,916.07,1064.97,5.8,5.57,False,True,SHY (미국 단기국채)
2002-09,815.28,1037.24,5.7,5.63,False,True,SHY (미국 단기국채)
2002-10,885.76,1003.51,5.7,5.69,False,True,SHY (미국 단기국채)
2002-11,936.31,983.12,5.7,5.72,False,False,QQQ (나스닥)
2002-12,879.82,958.63,5.9,5.76,False,True,SHY (미국 단기국채)
2003-01,855.7,933.74,6.0,5.78,False,True,SHY (미국 단기국채)
2003-02,841.15,910.33,5.8,5.79,False,True,SHY (미국 단기국채)
2003-03,848.18,887.87,5.9,5.81,False,True,SHY (미국 단기국채)
2003-04,916.92,878.85,5.9,5.82,True,True,QQQ (나스닥)
2003-05,963.59,885.5,6.0,5.83,True,True,QQQ (나스닥)
2003-06,974.5,892.7,6.1,5.86,True,True,QQQ (나스닥)
2003-07,990.31,910.19,6.3,5.9,True,True,QQQ (나스닥)
2003-08,1008.01,920.46,6.2,5.93,True,True,QQQ (나스닥)
2003-09,995.97,931.56,6.1,5.97,True,True,QQQ (나스닥)
2003-10,1050.71,946.95,6.1,6.0,True,True,QQQ (나스닥)
2003-11,1058.2,965.65,6.0,6.02,True,False,QQQ (나스닥)
2003-12,1111.92,992.83,5.8,6.02,True,False,QQQ (나스닥)
2004-01,1131.13,1018.73,5.7,5.99,True,False,QQQ (나스닥)
2004-02,1144.94,1040.18,5.7,5.98,True,False,QQQ (나스닥)
2004-03,1126.21,1058.76,5.6,5.96,True,False,QQQ (나스닥)
2004-04,1107.3,1073.48,5.8,5.95,True,False,QQQ (나스닥)
2004-05,1120.68,1085.38,5.6,5.92,True,False,QQQ (나스닥)
2004-06,1140.84,1098.43,5.6,5.88,True,False,QQQ (나스닥)
2004-07,1101.72,1107.01,5.6,5.82,False,False,QQQ (나스닥)
2004-08,1104.24,1111.69,5.5,5.76,False,False,QQQ (나스닥)
2004-09,1114.58,1118.11,5.4,5.7,False,False,QQQ (나스닥)
2004-10,1130.2,1119.4,5.4,5.64,True,False,QQQ (나스닥)
2004-11,1173.82,1122.4,5.5,5.6,True,False,QQQ (나스닥)
2004-12,1211.92,1129.02,5.4,5.57,True,False,QQQ (나스닥)
2005-01,1181.27,1134.71,5.4,5.54,True,False,QQQ (나스닥)
2005-02,1203.6,1142.37,5.3,5.51,True,False,QQQ (나스닥)
2005-03,1180.59,1151.32,5.4,5.49,True,False,QQQ (나스닥)
2005-04,1156.85,1155.32,5.2,5.44,True,False,QQQ (나스닥)
2005-05,1191.5,1164.72,5.2,5.41,True,False,QQQ (나스닥)
2005-06,1191.33,1175.22,5.1,5.37,True,False,QQQ (나스닥)
2005-07,1234.18,1185.27,5.0,5.32,True,False,QQQ (나스닥)
2005-08,1220.33,1195.61,5.0,5.28,True,False,QQQ (나스닥)
2005-09,1228.81,1199.88,4.9,5.23,True,False,QQQ (나스닥)
2005-10,1207.01,1199.31,5.0,5.2,True,False,QQQ (나스닥)
2005-11,1249.48,1204.5,5.0,5.16,True,False,QQQ (나스닥)
2005-12,1248.29,1210.52,5.0,5.12,True,False,QQQ (나스닥)
2006-01,1280.08,1220.77,4.9,5.08,True,False,QQQ (나스닥)
2006-02,1280.66,1231.86,4.7,5.03,True,False,QQQ (나스닥)
2006-03,1294.87,1243.5,4.8,4.98,True,False,QQQ (나스닥)
2006-04,1310.61,1252.63,4.7,4.94,True,False,QQQ (나스닥)
2006-05,1270.09,1258.96,4.7,4.9,True,False,QQQ (나스닥)
2006-06,1270.2,1262.3,4.6,4.86,True,False,QQQ (나스닥)
2006-07,1276.66,1267.14,4.6,4.82,True,False,QQQ (나스닥)
2006-08,1303.82,1276.78,4.7,4.8,True,False,QQQ (나스닥)
2006-09,1335.85,1282.95,4.7,4.78,True,False,QQQ (나스닥)
2006-10,1377.94,1293.02,4.5,4.74,True,False,QQQ (나스닥)
2006-11,1400.63,1305.35,4.4,4.69,True,False,QQQ (나스닥)
2006-12,1418.3,1318.26,4.5,4.65,True,False,QQQ (나스닥)
2007-01,1438.24,1330.71,4.4,4.61,True,False,QQQ (나스닥)
2007-02,1406.82,1343.45,4.6,4.6,True,False,QQQ (나스닥)
2007-03,1420.86,1358.87,4.5,4.58,True,False,QQQ (나스닥)
2007-04,1482.37,1379.6,4.4,4.55,True,False,QQQ (나스닥)
